Reference code	Original Reference No	Location code	Title	Other title 1	Other title 2	Other title 3	Other title 4	Creator	Date (start) YYYY	start confirm	Date (end) YYYY	end confirm	Level of description	Extent	Medium	Language	Administrative history	Content	Condition governing access	Related unit(s) of description	Other notes	Internal only notes	Complete or not	Status review required	Date of collection	Source	Acquisition method	Material type	Record disclosure counter	Condition	Archivist's remarks	Archival history	Conservation related issues	Master reference code	Name & Subject	Important item(s)
SEK-6-074	I.7-A-9	D01/22	International Trade & Investment - general correspondence						1984		1986			2	folder(s)	Eng		Founded in 1950, Interntional Trade & investment Co., Ltd. was an investment company based in Hong Kong. The majority of the company's business was based on the purchase of stocks, bonds, and other securities in open markets. The company held an international portfolio, although the majority of investments were in Hong Kong-based companies. In the 1970s, Sir Elly Kadoorie Continuation (SEKC) was the holding company for International Trade & Investment Co., Ltd. and provided funding for the company through a long-term loan. This file contains administrative records including mangement correspondence,  meeting minutes and accounts. 	2				FALSE	FALSE		SGB 24F			1986						International Trade & Investment	
SEK-6-075	I.7-E-1	D01/22	International Trade & Investment - Toronto investments						1980		1982			1	folder(s)	Eng		Founded in 1950, Interntional Trade & investment Co., Ltd. was an investment company based in Hong Kong. The majority of the company's business was based on the purchase of stocks, bonds, and other securities in open markets. The company held an international portfolio, although the majority of investments were in Hong Kong-based companies. In the 1970s, Sir Elly Kadoorie Continuation (SEKC) was the holding company for International Trade & Investment Co., Ltd. and provided funding for the company through a long-term loan. This file contains administrative records including mangement correspondence,  meeting minutes and accounts. 	2				FALSE	FALSE		SGB 24F			1982						International Trade & Investment	
SEK-6-076	J.6-A-1	D02/01	Joint Ventures						1957		1973			1	folder(s)	Eng		Formed as a partnership between the Kadoories, Hawaiian Dredging and Construction and Pomeroy & Co., Ltd. Joint Ventures, Ltd. was primarily involved in bidding for civil construction projects in Hong Kong and other areas internationally. The company was interested in tunneling projects in Hong Kong, highway construction and airport construction projects in Ethiopia, amongst other projects. The company would subcontract planning and construction work to Hawaiian Dredging and Construction, Major Contractors, and Pomeroy & Co., Ltd. This file contains correspondence between the mangement of the three companies invloved in the formation of Joint Ventures, Ltd. 	1				FALSE	FALSE		SGB 24F			1973						Joint Ventures	
SEK-6-077	J.6-A-2	D02/01	Joint Ventures						1973		1975			1	folder(s)	Eng		Formed as a partnership between the Kadoories, Hawaiian Dredging and Construction and Pomeroy & Co., Ltd. Joint Ventures, Ltd. was primarily involved in bidding for civil construction projects in Hong Kong and other areas internationally. The company was interested in tunneling projects in Hong Kong, highway construction and airport construction projects in Ethiopia, amongst other projects. The company would subcontract planning and construction work to Hawaiian Dredging and Construction, Major Contractors, and Pomeroy & Co., Ltd. This file contains correspondence between the mangement of the three companies invloved in the formation of Joint Ventures, Ltd. 	1				FALSE	FALSE		SGB 24F			1975						Joint Ventures	
SEK-6-078	J.6-B-1	D02/01	Joint Ventures - Shek Pik						1958		1959			1	folder(s)	Eng		Formed as a partnership between the Kadoories, Hawaiian Dredging and Construction and Pomeroy & Co., Ltd. Joint Ventures, Ltd. was primarily involved in bidding for civil construction projects in Hong Kong and other areas internationally. The company was interested in tunneling projects in Hong Kong, highway construction and airport construction projects in Ethiopia, amongst other projects. The company would subcontract planning and construction work to Hawaiian Dredging and Construction, Major Contractors, and Pomeroy & Co., Ltd. This file contains correspondence and project proposals relating to a project at Shek Pik. 	1				FALSE	FALSE		SGB 24F			1959						Joint Ventures	
SEK-6-079	J.6-B-2	D02/01	Joint Ventures - Shek Pik water supply						1959		1962			1	folder(s)	Eng		Formed as a partnership between the Kadoories, Hawaiian Dredging and Construction and Pomeroy & Co., Ltd. Joint Ventures, Ltd. was primarily involved in bidding for civil construction projects in Hong Kong and other areas internationally. The company was interested in tunneling projects in Hong Kong, highway construction and airport construction projects in Ethiopia, amongst other projects. The company would subcontract planning and construction work to Hawaiian Dredging and Construction, Major Contractors, and Pomeroy & Co., Ltd. This file contains correspondence and project proposals relating to a water supply project at Shek Pik. 	1				FALSE	FALSE		SGB 24F			1962						Joint Ventures	
SEK-6-080	J.6-C-1	D02/01	Joint Ventures - Kwai Chung development						1962		1963			1	folder(s)	Eng		Formed as a partnership between the Kadoories, Hawaiian Dredging and Construction and Pomeroy & Co., Ltd. Joint Ventures, Ltd. was primarily involved in bidding for civil construction projects in Hong Kong and other areas internationally. The company was interested in tunneling projects in Hong Kong, highway construction and airport construction projects in Ethiopia, amongst other projects. The company would subcontract planning and construction work to Hawaiian Dredging and Construction, Major Contractors, and Pomeroy & Co., Ltd. This file contains correspondence and project proposals relating to Kwai Chung Development.	1				FALSE	FALSE		SGB 24F			1963						Joint Ventures	
SEK-6-081	J.6-D-1	D02/01	Joint Ventures - Plover Cove						1961		1963			2	folder(s)	Eng		Formed as a partnership between the Kadoories, Hawaiian Dredging and Construction and Pomeroy & Co., Ltd. Joint Ventures, Ltd. was primarily involved in bidding for civil construction projects in Hong Kong and other areas internationally. The company was interested in tunneling projects in Hong Kong, highway construction and airport construction projects in Ethiopia, amongst other projects. The company would subcontract planning and construction work to Hawaiian Dredging and Construction, Major Contractors, and Pomeroy & Co., Ltd. This file contains correspondence and project proposals relating to Plover Cove. 	1				FALSE	FALSE		SGB 24F			1963						Joint Ventures	
SEK-6-082	J.6-E-1	D02/01	Joint Ventures - Central development						1963		1964			1	folder(s)	Eng		Formed as a partnership between the Kadoories, Hawaiian Dredging and Construction and Pomeroy & Co., Ltd. Joint Ventures, Ltd. was primarily involved in bidding for civil construction projects in Hong Kong and other areas internationally. The company was interested in tunneling projects in Hong Kong, highway construction and airport construction projects in Ethiopia, amongst other projects. The company would subcontract planning and construction work to Hawaiian Dredging and Construction, Major Contractors, and Pomeroy & Co., Ltd. This file contains correspondence and project proposals relating to development in Central. 	1				FALSE	FALSE		SGB 24F			1964						Joint Ventures	
SEK-6-083	K.7-A-7	D02/02	Kadoorie Estates						1970		1988			2	folder(s)	Eng		Insurance company?	2				FALSE	FALSE		SGB 24F			1988						Kadoorie Estates	
SEK-6-084	K.7-C-1	D02/02	Kadoorie Estates - K.M.L. 39						1947		1962			1	folder(s)	Eng		Kadoorie Estates, founded in the early 1930s, was a property management company under the Hong Kong Engineering & Construction Co., Ltd. The company owned and managed properties in Kowloon and Hong Kong island. These files contain audited accounts and administrative correspondence relating to properties including St. George's Building, K.M.L. 39 at Yaumati, and I.L. 905 at Kennedy Town. 	1				FALSE	FALSE		SGB 22F			1962						Kadoorie Estates	
SEK-6-085	K.7-D-1	D02/02	Kadoorie Estates - IL No 90S Kennedy Town						1954		1956			1	folder(s)	Eng		Kadoorie Estates, founded in the early 1930s, was a property management company under the Hong Kong Engineering & Construction Co., Ltd. The company owned and managed properties in Kowloon and Hong Kong island. These files contain audited accounts and administrative correspondence relating to properties including St. George's Building, K.M.L. 39 at Yaumati, and I.L. 905 at Kennedy Town. 	1				FALSE	FALSE		SGB 22F			1956						Kadoorie Estates	
SEK-6-086	H.3-A-17	D01/14	Kadoorie Estates						1982		1989			2	folder(s)	Eng		Kadoorie Estates, founded in the early 1930s, was a property management company under the Hong Kong Engineering & Construction Co., Ltd. The company owned and managed properties in Kowloon and Hong Kong island. These files contain audited accounts and administrative correspondence with Jospeh Royce relating to the management of Kadoorie Avenue and Braga Circuit. 	2			The last file of Hongkong Engineering & Construction	FALSE	FALSE		SGB 24F			1989						Kadoorie Estates	
SEK-6-087	DK3	D03/20	Kadoorie Estates						1939					1	folder(s)	Eng		Kadoorie Estates, founded in the early 1930s, was a property management company under the Hong Kong Engineering & Construction Co., Ltd. The company owned and managed properties in Kowloon and Hong Kong island. These files contain audited accounts and administrative correspondence relating to properties including St. George's Building, K.M.L. 39 at Yaumati, and I.L. 905 at Kennedy Town. 	1				FALSE	FALSE		SGB 22F			1939						The Kadoories	
SEK-6-088	FK3	D03/20	Kadoorie Estates						1941					1	folder(s)	Eng		Kadoorie Estates, founded in the early 1930s, was a property management company under the Hong Kong Engineering & Construction Co., Ltd. The company owned and managed properties in Kowloon and Hong Kong island. These files contain audited accounts and administrative correspondence relating to properties including St. George's Building, K.M.L. 39 at Yaumati, and I.L. 905 at Kennedy Town. 	1				FALSE	FALSE		SGB 22F									Kadoorie Estates	
SEK-6-089	BK6	D03/20	Kadoorie Estates - St George Building (M.L. 286) proposed reconstruction						1936		1937			1	folder(s)	Eng		Kadoorie Estates, founded in the early 1930s, was a property management company under the Hong Kong Engineering & Construction Co., Ltd. The company owned and managed properties in Kowloon and Hong Kong island. These files contain audited accounts and administrative correspondence relating to properties including St. George's Building, K.M.L. 39 at Yaumati, and I.L. 905 at Kennedy Town. 	1				FALSE	FALSE		SGB 22F			1937						Kadoorie Estates?	
SEK-6-090	CH5	D03/20	Hong Kong Engineering & Construction Company	__________					1937		1938			1	folder(s)	Eng		Hongkong Engineering & Construction Co., Ltd. (HKECC) was founded in 1922 as a civil contractor. The company received exclusive rights to build foundations using the "Franki"  system of piling developed in Belgium. HKECC performed piling work through its wholly-owned subsidiary Franki Piling and Engineering Co., Ltd. HKECC also bid for government contracts and civil projects including the Hok Un Power Station for China Light & Power Co., Ltd., piers and godowns for Hongkong & Kowloon Wharf & Godown Co., Ltd. and air raid shelters and tunnels for the Hong Kong government. During the early 1930s the company ventured into residential property development. LAwrence Kadoorie served as a director beginning in 1931. This file contains administrative correspondence and meeting minutes. 	1				FALSE	FALSE		SGB 22F			1938						Kadoorie Estates	
SEK-6-091	FH3	D03/21	Hong Kong Engineering & Construction Company	__________					1941					1	folder(s)	Eng		Hongkong Engineering & Construction Co., Ltd. (HKECC) was founded in 1922 as a civil contractor. The company received exclusive rights to build foundations using the "Franki"  system of piling developed in Belgium. HKECC performed piling work through its wholly-owned subsidiary Franki Piling and Engineering Co., Ltd. HKECC also bid for government contracts and civil projects including the Hok Un Power Station for China Light & Power Co., Ltd., piers and godowns for Hongkong & Kowloon Wharf & Godown Co., Ltd. and air raid shelters and tunnels for the Hong Kong government. During the early 1930s the company ventured into residential property development. LAwrence Kadoorie served as a director beginning in 1931. This file contains administrative correspondence and meeting minutes. 	1				FALSE	FALSE		SGB 22F			1941						Kadoorie Estates	
SEK-6-092		D03/21	Hong Kong Engineering & Construction Company - land adjacent to the Hongkong Cotton Mill	__________					1949					1	folder(s)	Eng		Hongkong Engineering & Construction Co., Ltd. (HKECC) was founded in 1922 as a civil contractor. The company received exclusive rights to build foundations using the "Franki"  system of piling developed in Belgium. HKECC performed piling work through its wholly-owned subsidiary Franki Piling and Engineering Co., Ltd. HKECC also bid for government contracts and civil projects including the Hok Un Power Station for China Light & Power Co., Ltd., piers and godowns for Hongkong & Kowloon Wharf & Godown Co., Ltd. and air raid shelters and tunnels for the Hong Kong government. During the early 1930s the company ventured into residential property development. LAwrence Kadoorie served as a director beginning in 1931. This file contains correspondence relating to the purchase of land adjacent to the Hong Kong Cotton Mill. 	1				FALSE	FALSE												
SEK-6-093	K.7-F-1	D03/21	St. George's Building						1957		1963			1	folder(s)	Eng		Kadoorie Estates, founded in the early 1930s, was a property management company under the Hong Kong Engineering & Construction Co., Ltd. The company owned and managed properties in Kowloon and Hong Kong island. These files contain  correspondence between the Kadoories and T.F. Mok regarding St. George's Building. 	1				FALSE	FALSE												
SEK-6-094	K.12-A-1	D02/02	Societe Kador Francaise						1947		1954			1	folder(s)	Eng & French		Societe Kador Francaise was company set up by Horace Kadoorie to hold the Kadoorie's property investment purchases in France. The company looked after properties including Valberg and 16 Rue de Teheran in France. This file contains correspondence regarding potential purchases between Lawrence and Horace Kadoorie, and correspondence with civil land supervisor, George Kaufman. 	1				FALSE	FALSE		SGB 24F			1954						Other personal affairs?	
SEK-6-095	K.20-AD-1	D02/03	Franki Investments - Michael David Kadoorie's file 1	________					1982		1983			2	folder(s)	Eng		In 1977, Franki Piling and Engineering (Hong Kong), Ltd.  changed its name to Franki Investments, Ltd. The nature of the company shifted from being exclusively a piling contractor in Hong Kong and parts of China, to being the managing company for piling contracting companies throughout Southeast Asia and related businesses of transportation and property development. Franki Investments, Ltd.'s subsidiary companies and major investments include: Franki Contractor, Ltd. (China and Macau), Kin Sun Construction (Macau), Franki Lands, Ltd. (Hong Kong), Turnham Green Enterprises, Ltd., Franki PSC, Ltd. (China and Macau),  Franki Piling Singapore (Pte.) Ltd. (Singapore and Brunei), Pak Kee Transportation Co., Ltd., and Franki Malaysia SDN. This file contains management reports, annual reports, financial reports and correspondence between members of the board of directors including Michael Kadoorie, R.J.C. Hartley, and James Dickson Leach. 	2				FALSE	FALSE		SGB 24F			1983						Franki?	
SEK-6-096	K.20-AB-2	D02/03	Franki Investments - Michael David Kadoorie's file 2	________					1983					2	folder(s)	Eng		In 1977, Franki Piling and Engineering (Hong Kong), Ltd.  changed its name to Franki Investments, Ltd. The nature of the company shifted from being exclusively a piling contractor in Hong Kong and parts of China, to being the managing company for piling contracting companies throughout Southeast Asia and related businesses of transportation and property development. Franki Investments, Ltd.'s subsidiary companies and major investments include: Franki Contractor, Ltd. (China and Macau), Kin Sun Construction (Macau), Franki Lands, Ltd. (Hong Kong), Turnham Green Enterprises, Ltd., Franki PSC, Ltd. (China and Macau),  Franki Piling Singapore (Pte.) Ltd. (Singapore and Brunei), Pak Kee Transportation Co., Ltd., and Franki Malaysia SDN. This file contains management reports, annual reports, financial reports and correspondence between members of the board of directors including Michael Kadoorie, R.J.C. Hartley, and James Dickson Leach. 	2				FALSE	FALSE		SGB 24F			1983						Franki?	
SEK-6-097	K.20-AD-3	D02/04	Franki Investments - Michael David Kadoorie's file 3	________					1984					2	folder(s)	Eng		In 1977, Franki Piling and Engineering (Hong Kong), Ltd.  changed its name to Franki Investments, Ltd. The nature of the company shifted from being exclusively a piling contractor in Hong Kong and parts of China, to being the managing company for piling contracting companies throughout Southeast Asia and related businesses of transportation and property development. Franki Investments, Ltd.'s subsidiary companies and major investments include: Franki Contractor, Ltd. (China and Macau), Kin Sun Construction (Macau), Franki Lands, Ltd. (Hong Kong), Turnham Green Enterprises, Ltd., Franki PSC, Ltd. (China and Macau),  Franki Piling Singapore (Pte.) Ltd. (Singapore and Brunei), Pak Kee Transportation Co., Ltd., and Franki Malaysia SDN. This file contains management reports, annual reports, financial reports and correspondence between members of the board of directors including Michael Kadoorie, R.J.C. Hartley, and James Dickson Leach. 	2				FALSE	FALSE		SGB 24F			1984						Franki?	
SEK-6-098	K.20-AD-4	D02/04	Franki Investments - Michael David Kadoorie's file 4	________					1984		1985			2	folder(s)	Eng		In 1977, Franki Piling and Engineering (Hong Kong), Ltd.  changed its name to Franki Investments, Ltd. The nature of the company shifted from being exclusively a piling contractor in Hong Kong and parts of China, to being the managing company for piling contracting companies throughout Southeast Asia and related businesses of transportation and property development. Franki Investments, Ltd.'s subsidiary companies and major investments include: Franki Contractor, Ltd. (China and Macau), Kin Sun Construction (Macau), Franki Lands, Ltd. (Hong Kong), Turnham Green Enterprises, Ltd., Franki PSC, Ltd. (China and Macau),  Franki Piling Singapore (Pte.) Ltd. (Singapore and Brunei), Pak Kee Transportation Co., Ltd., and Franki Malaysia SDN. This file contains management reports, annual reports, financial reports and correspondence between members of the board of directors including Michael Kadoorie, R.J.C. Hartley, and James Dickson Leach. 	2				FALSE	FALSE		SGB 24F			1985						Franki?	
SEK-6-099	K.20-AD-5	D02/05	Franki Investments - Michael David Kadoorie's file 5	________					1985					2	folder(s)	Eng		In 1977, Franki Piling and Engineering (Hong Kong), Ltd.  changed its name to Franki Investments, Ltd. The nature of the company shifted from being exclusively a piling contractor in Hong Kong and parts of China, to being the managing company for piling contracting companies throughout Southeast Asia and related businesses of transportation and property development. Franki Investments, Ltd.'s subsidiary companies and major investments include: Franki Contractor, Ltd. (China and Macau), Kin Sun Construction (Macau), Franki Lands, Ltd. (Hong Kong), Turnham Green Enterprises, Ltd., Franki PSC, Ltd. (China and Macau),  Franki Piling Singapore (Pte.) Ltd. (Singapore and Brunei), Pak Kee Transportation Co., Ltd., and Franki Malaysia SDN. This file contains management reports, annual reports, financial reports and correspondence between members of the board of directors including Michael Kadoorie, R.J.C. Hartley, and James Dickson Leach. 	2				FALSE	FALSE		SGB 24F			1985						Franki?	
SEK-6-100	K.25-E-1	D02/05	Sir Elly Kadoorie Continuation - general	_________					1972		1974			2	folder(s)	Eng		In 1970, Sir Elly Kadoorie Continuation, Ltd. was formed as an investment company to manage a variety of subsidiary companies and investments beneficailly owned by the Kadoories. The company's subsidiaries included International Trade & Investment Co., Ltd., Registered Offices, Ltd., the "Dress Companies", Zink INvestments, Ltd., and Kadoorie Estates, Ltd. Other major investments include: Heliservices (HK), Ltd., A.R. Burkill & Sons (HK), Ltd., Turnball Gibson, Ltd., Modern Terminals, Ltd., and Schroders & Chartered, Ltd. Directors of tje company included: Lawrence Kadoorie, Horace Kadoorie, Michael Kadoorie, Sidney Gordon, William Grimsdale, James Dickson Leach, Kenneth Miller, and William Mocatta. This file contains meeting minutes, correspondence with legal advisors and service providers and audited financial reports. 	1				FALSE	FALSE		SGB 24F			1974						SEKC	
SEK-6-101	K.25-E-2	D02/06	Sir Elly Kadoorie Continuation - general	_________					1975					2	folder(s)	Eng		In 1970, Sir Elly Kadoorie Continuation, Ltd. was formed as an investment company to manage a variety of subsidiary companies and investments beneficailly owned by the Kadoories. The company's subsidiaries included International Trade & Investment Co., Ltd., Registered Offices, Ltd., the "Dress Companies", Zink INvestments, Ltd., and Kadoorie Estates, Ltd. Other major investments include: Heliservices (HK), Ltd., A.R. Burkill & Sons (HK), Ltd., Turnball Gibson, Ltd., Modern Terminals, Ltd., and Schroders & Chartered, Ltd. Directors of tje company included: Lawrence Kadoorie, Horace Kadoorie, Michael Kadoorie, Sidney Gordon, William Grimsdale, James Dickson Leach, Kenneth Miller, and William Mocatta. This file contains meeting minutes, correspondence with legal advisors and service providers and audited financial reports. 	1				FALSE	FALSE		SGB 24F			1975						SEKC	
SEK-6-102	K.25-E-3	D02/06	Sir Elly Kadoorie Continuation - general	_________					1976		1978			2	folder(s)	Eng		In 1970, Sir Elly Kadoorie Continuation, Ltd. was formed as an investment company to manage a variety of subsidiary companies and investments beneficailly owned by the Kadoories. The company's subsidiaries included International Trade & Investment Co., Ltd., Registered Offices, Ltd., the "Dress Companies", Zink INvestments, Ltd., and Kadoorie Estates, Ltd. Other major investments include: Heliservices (HK), Ltd., A.R. Burkill & Sons (HK), Ltd., Turnball Gibson, Ltd., Modern Terminals, Ltd., and Schroders & Chartered, Ltd. Directors of tje company included: Lawrence Kadoorie, Horace Kadoorie, Michael Kadoorie, Sidney Gordon, William Grimsdale, James Dickson Leach, Kenneth Miller, and William Mocatta. This file contains meeting minutes, correspondence with legal advisors and service providers and audited financial reports. 	1				FALSE	FALSE		SGB 24F			1978						SEKC	
SEK-6-103	K.25-E-4	D02/07	Sir Elly Kadoorie Continuation - general	_________					1979					1	folder(s)	Eng		In 1970, Sir Elly Kadoorie Continuation, Ltd. was formed as an investment company to manage a variety of subsidiary companies and investments beneficailly owned by the Kadoories. The company's subsidiaries included International Trade & Investment Co., Ltd., Registered Offices, Ltd., the "Dress Companies", Zink INvestments, Ltd., and Kadoorie Estates, Ltd. Other major investments include: Heliservices (HK), Ltd., A.R. Burkill & Sons (HK), Ltd., Turnball Gibson, Ltd., Modern Terminals, Ltd., and Schroders & Chartered, Ltd. Directors of tje company included: Lawrence Kadoorie, Horace Kadoorie, Michael Kadoorie, Sidney Gordon, William Grimsdale, James Dickson Leach, Kenneth Miller, and William Mocatta. This file contains meeting minutes, correspondence with legal advisors and service providers and audited financial reports. 	1				FALSE	FALSE		SGB 24F			1979						SEKC	
SEK-6-104	K.25-E-5	D02/07	Sir Elly Kadoorie Continuation - general	_________					1980		1981			1	folder(s)	Eng		In 1970, Sir Elly Kadoorie Continuation, Ltd. was formed as an investment company to manage a variety of subsidiary companies and investments beneficailly owned by the Kadoories. The company's subsidiaries included International Trade & Investment Co., Ltd., Registered Offices, Ltd., the "Dress Companies", Zink INvestments, Ltd., and Kadoorie Estates, Ltd. Other major investments include: Heliservices (HK), Ltd., A.R. Burkill & Sons (HK), Ltd., Turnball Gibson, Ltd., Modern Terminals, Ltd., and Schroders & Chartered, Ltd. Directors of tje company included: Lawrence Kadoorie, Horace Kadoorie, Michael Kadoorie, Sidney Gordon, William Grimsdale, James Dickson Leach, Kenneth Miller, and William Mocatta. This file contains meeting minutes, correspondence with legal advisors and service providers and audited financial reports. 	2				FALSE	FALSE		SGB 24F			1981						SEKC	
SEK-6-105	K.25-E-5	D02/07	Sir Elly Kadoorie Continuation - general	_________					1981		1983			1	folder(s)	Eng		In 1970, Sir Elly Kadoorie Continuation, Ltd. was formed as an investment company to manage a variety of subsidiary companies and investments beneficailly owned by the Kadoories. The company's subsidiaries included International Trade & Investment Co., Ltd., Registered Offices, Ltd., the "Dress Companies", Zink INvestments, Ltd., and Kadoorie Estates, Ltd. Other major investments include: Heliservices (HK), Ltd., A.R. Burkill & Sons (HK), Ltd., Turnball Gibson, Ltd., Modern Terminals, Ltd., and Schroders & Chartered, Ltd. Directors of tje company included: Lawrence Kadoorie, Horace Kadoorie, Michael Kadoorie, Sidney Gordon, William Grimsdale, James Dickson Leach, Kenneth Miller, and William Mocatta. This file contains meeting minutes, correspondence with legal advisors and service providers and audited financial reports. 	2				FALSE	FALSE		SGB 24F			1983						SEKC	
SEK-6-106	K.25-E-6	D02/07	Sir Elly Kadoorie Continuation - general	_________					1983		1984			2	folder(s)	Eng		In 1970, Sir Elly Kadoorie Continuation, Ltd. was formed as an investment company to manage a variety of subsidiary companies and investments beneficailly owned by the Kadoories. The company's subsidiaries included International Trade & Investment Co., Ltd., Registered Offices, Ltd., the "Dress Companies", Zink INvestments, Ltd., and Kadoorie Estates, Ltd. Other major investments include: Heliservices (HK), Ltd., A.R. Burkill & Sons (HK), Ltd., Turnball Gibson, Ltd., Modern Terminals, Ltd., and Schroders & Chartered, Ltd. Directors of tje company included: Lawrence Kadoorie, Horace Kadoorie, Michael Kadoorie, Sidney Gordon, William Grimsdale, James Dickson Leach, Kenneth Miller, and William Mocatta. This file contains meeting minutes, correspondence with legal advisors and service providers and audited financial reports. 	2				FALSE	FALSE		SGB 24F			1984						SEKC	
SEK-6-107	K.25-E-7	D02/08	Sir Elly Kadoorie Continuation - general	_________					1985					1	folder(s)	Eng		In 1970, Sir Elly Kadoorie Continuation, Ltd. was formed as an investment company to manage a variety of subsidiary companies and investments beneficailly owned by the Kadoories. The company's subsidiaries included International Trade & Investment Co., Ltd., Registered Offices, Ltd., the "Dress Companies", Zink INvestments, Ltd., and Kadoorie Estates, Ltd. Other major investments include: Heliservices (HK), Ltd., A.R. Burkill & Sons (HK), Ltd., Turnball Gibson, Ltd., Modern Terminals, Ltd., and Schroders & Chartered, Ltd. Directors of tje company included: Lawrence Kadoorie, Horace Kadoorie, Michael Kadoorie, Sidney Gordon, William Grimsdale, James Dickson Leach, Kenneth Miller, and William Mocatta. This file contains meeting minutes, correspondence with legal advisors and service providers and audited financial reports. 	2				FALSE	FALSE		SGB 24F			1985						SEKC	
SEK-6-108	K.25-E-8	D02/08	Sir Elly Kadoorie Continuation - general	_________					1986					1	folder(s)	Eng		In 1970, Sir Elly Kadoorie Continuation, Ltd. was formed as an investment company to manage a variety of subsidiary companies and investments beneficailly owned by the Kadoories. The company's subsidiaries included International Trade & Investment Co., Ltd., Registered Offices, Ltd., the "Dress Companies", Zink INvestments, Ltd., and Kadoorie Estates, Ltd. Other major investments include: Heliservices (HK), Ltd., A.R. Burkill & Sons (HK), Ltd., Turnball Gibson, Ltd., Modern Terminals, Ltd., and Schroders & Chartered, Ltd. Directors of tje company included: Lawrence Kadoorie, Horace Kadoorie, Michael Kadoorie, Sidney Gordon, William Grimsdale, James Dickson Leach, Kenneth Miller, and William Mocatta. This file contains meeting minutes, correspondence with legal advisors and service providers and audited financial reports. 	2				FALSE	FALSE		SGB 24F			1986						SEKC	
SEK-6-109	K.25-E-9	D02/08	Sir Elly Kadoorie Continuation - general	_________					1987		1988			1	folder(s)	Eng		In 1970, Sir Elly Kadoorie Continuation, Ltd. was formed as an investment company to manage a variety of subsidiary companies and investments beneficailly owned by the Kadoories. The company's subsidiaries included International Trade & Investment Co., Ltd., Registered Offices, Ltd., the "Dress Companies", Zink INvestments, Ltd., and Kadoorie Estates, Ltd. Other major investments include: Heliservices (HK), Ltd., A.R. Burkill & Sons (HK), Ltd., Turnball Gibson, Ltd., Modern Terminals, Ltd., and Schroders & Chartered, Ltd. Directors of tje company included: Lawrence Kadoorie, Horace Kadoorie, Michael Kadoorie, Sidney Gordon, William Grimsdale, James Dickson Leach, Kenneth Miller, and William Mocatta. This file contains meeting minutes, correspondence with legal advisors and service providers and audited financial reports. 	2				FALSE	FALSE		SGB 24F			1988						SEKC	
SEK-6-110		D03/21	Sir Elly Kadoorie Continuation - annual audit	_________					1970		1979			1	folder(s)	Eng		In 1970, Sir Elly Kadoorie Continuation, Ltd. was formed as an investment company to manage a variety of subsidiary companies and investments beneficailly owned by the Kadoories. The company's subsidiaries included International Trade & Investment Co., Ltd., Registered Offices, Ltd., the "Dress Companies", Zink INvestments, Ltd., and Kadoorie Estates, Ltd. Other major investments include: Heliservices (HK), Ltd., A.R. Burkill & Sons (HK), Ltd., Turnball Gibson, Ltd., Modern Terminals, Ltd., and Schroders & Chartered, Ltd. Directors of tje company included: Lawrence Kadoorie, Horace Kadoorie, Michael Kadoorie, Sidney Gordon, William Grimsdale, James Dickson Leach, Kenneth Miller, and William Mocatta. This file contains handwritten drafts of balance sheets and audited financial reports. 	1				FALSE	FALSE		SGB 24F			1979							
SEK-6-111		D03/21	Sir Elly Kadoorie Continuation - CAN (List of files)	_________					1980					1	folder(s)	Eng		In 1970, Sir Elly Kadoorie Continuation, Ltd. was formed as an investment company to manage a variety of subsidiary companies and investments beneficailly owned by the Kadoories. The company's subsidiaries included International Trade & Investment Co., Ltd., Registered Offices, Ltd., the "Dress Companies", Zink INvestments, Ltd., and Kadoorie Estates, Ltd. Other major investments include: Heliservices (HK), Ltd., A.R. Burkill & Sons (HK), Ltd., Turnball Gibson, Ltd., Modern Terminals, Ltd., and Schroders & Chartered, Ltd. Directors of tje company included: Lawrence Kadoorie, Horace Kadoorie, Michael Kadoorie, Sidney Gordon, William Grimsdale, James Dickson Leach, Kenneth Miller, and William Mocatta. This file contains a list of files held in the offices located at St. George's Building. 	2				FALSE	FALSE		SGB 24F			1980						SEKC	
SEK-6-112	L.12	D02/08	Lombard  Insurance - general (William Mocatta's file)	________					1989		1992			2	folder(s)	Eng		Lombard Insurance was a Hong Kong- based  insurance provider with offices in Europe, UK, Canada, Australia, and Asia, which specialised in marine and aviation transit insurance as well as providing fire and accident insurance though its subsidiary, Hong Kong Fire Insurance, Co., Ltd. In 1979, the company merged with Alliance Assurance forming Lombard Alliance Insurance Co., Ltd. This file contains directors reports, financial reports and annual reports of the company as collected by William Mocatta when he served as a director of the company as Michael Kadoorie's alternate. 	2				FALSE	FALSE		SGB 24F			1992						Lombard Insurance	
SEK-6-113	L.12-A-1	D02/09	Lombard Insurance						1956		1971			1	folder(s)	Eng		Lombard Insurance was a Hong Kong- based  insurance provider with offices in Europe, UK, Canada, Australia, and Asia, which specialised in marine and aviation transit insurance as well as providing fire and accident insurance though its subsidiary, Hong Kong Fire Insurance, Co., Ltd. In 1979, the company merged with Alliance Assurance forming Lombard Alliance Insurance Co., Ltd. This file contains administrative correspondence, annual reports, meeting minutes and audited accounts collected by Lawrence Kadoorie in his role as a member of the Consulting Committee.	1				FALSE	FALSE		SGB 24F			1971						Lombard Insurance	
